credit.policy,purpose_clean2,int.rate,installment,log.annual.inc,annual_inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid
1,All Other,0.11,32.55,10.43,33990.00,14.47,687,1110.00,4485,36.90,1,0,0,1
1,All Other,0.10,112.87,11.26,78000.00,11.06,702,4979.96,16310,20.50,0,1,0,0
1,Debt Consolidation,0.10,160.51,11.78,130000.00,8.55,712,5940.00,20969,40.20,0,0,0,0
1,Debt Consolidation,0.14,340.57,10.46,35000.00,17.38,707,2699.96,22213,65.90,0,0,0,0
1,Home Improvement,0.08,156.11,12.32,225000.00,6.48,752,5339.96,2160,2.30,1,0,0,0
1,Credit Card,0.07,155.38,11.16,70000.00,4.56,812,9809.00,813,1.00,0,0,0,0
1,Home Improvement,0.08,235.25,11.92,150000.00,2.72,757,5202.00,23678,24.40,4,0,0,0
1,Debt Consolidation,0.10,257.99,10.78,48000.00,15.13,722,2640.00,11289,47.80,3,0,0,0
1,Small Business,0.15,225.37,12.27,213000.00,6.45,677,6240.00,56411,75.30,0,0,0,1
1,Home Improvement,0.10,80.26,11.23,75000.00,20.00,772,4920.96,269,3.80,3,0,0,1
1,Home Improvement,0.13,84.00,10.37,32000.00,20.00,682,5492.00,3408,35.10,1,0,0,1
1,Debt Consolidation,0.11,507.46,10.60,40000.00,13.50,712,5368.96,6513,34.30,3,0,1,1
1,Educational,0.07,124.31,10.60,40000.00,3.45,772,1739.96,330,11.00,0,0,0,0
1,Credit Card,0.09,63.32,11.16,70000.00,6.07,712,2550.00,5967,19.80,1,0,0,0
1,All Other,0.11,130.79,9.80,18000.00,18.00,707,2192.00,5533,79.60,1,0,0,0
1,Home Improvement,0.08,93.67,11.74,125000.00,2.14,762,8370.00,21050,1.00,0,0,0,0
1,All Other,0.08,93.67,10.82,50000.00,5.35,762,8370.00,21050,0.70,0,0,0,0
1,All Other,0.09,88.65,11.70,120000.00,15.00,742,3026.00,8155,14.90,1,0,0,0
1,All Other,0.10,128.41,11.51,100000.00,15.00,722,3026.00,8155,14.90,1,0,0,0
1,Home Improvement,0.09,94.98,11.03,62000.00,12.23,737,2729.96,3678,30.70,0,0,0,0
1,Debt Consolidation,0.12,179.80,10.46,35000.00,7.10,662,2944.00,2040,36.20,2,0,0,0
1,Credit Card,0.15,444.05,11.00,60000.00,19.52,667,2700.96,33074,68.80,2,0,0,0
1,All Other,0.08,124.89,11.03,61800.00,3.46,747,2519.00,1918,17.10,0,0,0,0
1,Credit Card,0.15,644.30,11.41,90000.00,5.24,662,1770.00,22379,62.20,0,0,0,0
1,Small Business,0.10,642.02,11.47,96000.00,2.86,737,2190.00,10296,42.50,0,0,0,1
1,Small Business,0.12,104.76,9.62,15000.00,12.24,672,1289.96,2867,55.10,3,0,0,1
1,Debt Consolidation,0.11,157.66,10.31,30000.00,12.36,682,1770.00,12310,86.10,0,0,0,0
1,Debt Consolidation,0.09,383.87,11.92,150000.00,4.80,767,13349.96,61921,39.10,0,0,0,0
1,Credit Card,0.11,217.60,11.39,88000.00,18.00,702,3725.00,16738,26.10,2,0,0,0
1,All Other,0.08,297.99,11.05,63000.00,3.49,792,5939.00,40384,9.20,1,0,0,0
1,Debt Consolidation,0.08,156.11,10.71,45000.00,5.00,762,2131.00,1359,5.60,2,0,0,0
1,Debt Consolidation,0.12,329.95,12.32,225000.00,20.00,727,10292.00,107501,44.80,2,0,0,0
1,All Other,0.08,313.67,12.06,173000.00,0.72,787,8010.00,3054,5.60,3,0,0,0
1,All Other,0.08,297.99,11.41,90000.00,2.44,792,8717.96,40384,9.60,0,0,0,0
1,Home Improvement,0.09,239.65,11.44,93000.00,9.66,792,4529.00,128000,0.00,3,0,0,0
1,Debt Consolidation,0.07,61.87,11.68,118000.00,0.43,772,5936.00,4709,18.50,0,0,0,0
1,All Other,0.12,94.47,10.71,45000.00,2.80,667,5460.00,2850,75.00,0,1,0,0
1,Small Business,0.15,73.68,11.47,96000.00,16.89,702,4080.00,51,0.00,0,0,0,1
1,Home Improvement,0.08,313.67,11.92,150000.00,5.84,792,5364.96,37152,3.70,0,0,0,0
1,Debt Consolidation,0.09,543.20,11.23,75000.00,9.55,762,5699.96,3839,16.60,1,0,0,0
1,Home Improvement,0.08,313.67,11.35,85000.00,3.11,797,5363.96,37152,3.70,0,0,0,0
1,Credit Card,0.12,266.37,11.16,70000.00,10.20,672,3598.96,26283,39.50,0,1,0,1
1,Debt Consolidation,0.10,210.60,10.71,45000.00,5.87,692,1741.96,5607,42.20,0,0,0,0
1,All Other,0.12,234.15,10.04,23000.00,5.01,662,1110.00,1061,81.90,3,0,0,0
1,Debt Consolidation,0.10,323.99,11.70,120000.00,14.40,722,4679.96,56740,77.50,1,0,0,0
1,Credit Card,0.11,235.96,10.95,57000.00,7.22,712,5519.00,40598,77.30,1,0,0,0
1,Debt Consolidation,0.14,352.22,11.18,72000.00,17.83,687,1289.96,3815,6.50,1,0,0,0
1,All Other,0.07,117.31,11.70,120000.00,0.00,772,3929.96,0,0.00,1,0,0,0
1,Debt Consolidation,0.07,64.96,11.61,110000.00,0.22,812,16213.00,50,0.30,0,0,0,0
1,Small Business,0.16,699.69,11.43,92000.00,1.53,667,3603.96,4569,56.40,1,0,0,0
1,Educational,0.11,195.27,9.85,19000.00,8.15,692,3089.96,8528,86.10,0,0,0,0
1,Credit Card,0.11,295.59,10.39,32400.00,22.15,747,2788.96,14345,45.80,0,0,0,0
1,Small Business,0.11,217.59,10.82,50000.00,18.38,707,3359.00,113,2.40,1,0,0,0
1,Debt Consolidation,0.14,263.09,11.04,62200.00,9.80,677,3089.96,12231,81.00,3,0,0,1
1,Debt Consolidation,0.15,248.43,10.95,57000.00,20.76,667,3750.00,13552,69.10,0,1,0,0
1,Credit Card,0.10,194.40,11.38,87300.00,10.60,692,2489.96,16813,63.90,0,0,0,0
1,Debt Consolidation,0.12,301.04,10.57,39000.00,5.08,667,3690.00,26233,62.90,3,0,1,1
1,All Other,0.07,163.92,11.35,85000.00,2.64,782,9210.00,5760,16.00,0,0,0,0
1,All Other,0.10,150.66,10.73,45600.00,3.26,687,6509.96,105,35.00,1,1,0,1
1,Debt Consolidation,0.11,217.59,10.95,57100.00,13.77,682,2160.00,11490,95.70,0,0,0,0
1,Home Improvement,0.13,85.23,10.60,40000.00,20.67,692,5250.00,17641,30.50,3,1,0,0
1,All Other,0.11,328.43,10.31,30000.00,20.40,742,3270.00,0,0.00,3,0,0,0
1,All Other,0.08,165.47,10.92,55000.00,12.00,797,8790.00,12430,19.20,1,0,0,0
1,Debt Consolidation,0.11,140.60,10.49,36000.00,9.87,707,1560.00,12323,44.00,0,0,0,0
1,All Other,0.10,98.01,11.41,90000.00,9.13,697,3300.00,38624,97.80,0,0,0,0
1,Small Business,0.12,166.48,9.21,10000.00,0.00,662,2250.00,875,54.70,2,1,0,1
1,Small Business,0.12,284.32,11.35,85000.00,6.38,667,7229.96,1196,12.00,3,4,0,0
1,Small Business,0.14,194.15,13.08,480000.00,2.40,697,2759.96,26628,60.40,3,1,0,0
1,All Other,0.10,138.51,10.34,31000.00,24.81,767,5789.96,6752,24.60,2,0,0,0
1,Debt Consolidation,0.12,70.25,9.43,12500.00,14.40,662,1469.00,458,91.60,1,0,0,1
1,Credit Card,0.08,252.10,11.56,105000.00,9.71,752,3508.96,16786,44.70,0,0,0,0
1,All Other,0.09,263.19,11.70,120000.00,12.16,742,9719.96,7336,29.90,0,0,0,0
1,All Other,0.09,104.65,11.03,62000.00,3.83,702,3690.00,7089,41.90,1,0,0,0
1,Debt Consolidation,0.08,172.53,10.90,54000.00,6.29,742,5100.00,18388,68.90,0,0,0,0
1,Credit Card,0.10,38.70,10.37,32000.00,1.13,677,1920.00,613,76.60,2,0,0,0
1,Educational,0.12,100.35,10.28,29120.00,12.77,662,1110.00,566,51.50,3,1,0,1
1,Debt Consolidation,0.13,335.98,10.50,36400.00,18.92,682,2219.00,9166,50.40,1,0,0,0
1,All Other,0.11,163.49,10.57,39000.00,11.78,707,4889.00,5406,33.40,0,0,1,1
1,All Other,0.10,32.25,10.46,35000.00,5.83,687,2158.96,1188,3.00,2,0,0,1
1,Educational,0.10,96.75,9.80,18000.00,15.40,707,11248.96,12003,40.40,1,0,0,0
1,All Other,0.11,72.42,11.00,60000.00,8.14,707,4800.00,20511,62.00,1,0,0,1
1,Small Business,0.10,90.68,11.16,70000.00,18.00,732,3691.00,55720,10.00,2,0,0,0
1,All Other,0.08,259.58,10.80,49000.00,9.89,772,9870.00,7744,17.10,0,0,0,0
1,All Other,0.10,169.32,11.16,70000.00,17.57,737,5429.96,51761,38.00,1,0,0,0
1,Credit Card,0.12,205.40,10.71,45000.00,17.76,717,1500.00,579,23.20,0,0,0,0
1,Debt Consolidation,0.13,162.01,11.35,85000.00,16.87,707,9059.96,34776,54.30,0,0,0,1
1,Debt Consolidation,0.10,226.80,10.92,55400.00,10.05,692,1890.00,8047,33.80,0,0,0,0
1,All Other,0.11,162.73,9.62,15000.00,24.40,737,3209.96,0,0.00,3,0,0,0
1,Debt Consolidation,0.12,158.38,10.13,25000.00,18.19,672,2586.00,409,81.80,0,1,0,0
1,Small Business,0.09,795.11,10.95,57000.00,8.93,822,9696.96,185,0.50,0,0,0,0
1,Debt Consolidation,0.10,158.83,11.34,84000.00,4.84,727,6330.00,48251,50.10,2,0,0,0
1,All Other,0.10,97.20,10.55,38000.00,19.93,687,2580.00,772,96.50,0,0,0,0
1,Debt Consolidation,0.12,263.97,10.82,50000.00,8.04,672,3089.00,1019,4.50,1,1,0,0
1,Small Business,0.11,404.62,10.75,46713.00,16.39,692,5640.00,8332,39.90,2,0,0,0
1,All Other,0.08,307.53,11.16,70000.00,9.09,797,6089.96,1790,4.50,1,0,0,0
1,Debt Consolidation,0.13,839.95,11.23,75000.00,24.85,722,6330.00,62739,74.70,3,0,0,1
1,All Other,0.11,269.31,11.60,109000.00,24.01,767,4665.96,29901,71.20,2,0,0,1
1,Debt Consolidation,0.12,265.18,10.86,52000.00,11.31,667,1560.00,5867,74.30,1,0,0,0
1,Home Improvement,0.10,802.47,11.26,78000.00,0.80,732,2129.96,10605,22.10,1,0,0,0
1,Debt Consolidation,0.11,505.16,11.70,120000.00,16.97,697,9659.00,57196,44.50,3,0,0,1
1,Home Improvement,0.09,318.05,12.52,275000.00,2.97,712,4919.00,481,80.20,2,0,0,1
1,Educational,0.08,315.12,10.31,30000.00,4.20,737,1560.00,2282,19.00,1,0,0,0
1,All Other,0.11,130.79,9.57,14400.00,8.92,672,1140.00,3614,61.30,1,0,0,0
1,Debt Consolidation,0.11,227.82,11.06,63500.00,8.50,682,6839.96,14930,79.00,1,0,1,0
1,Credit Card,0.10,643.36,11.66,116000.00,13.07,727,10529.96,33989,82.90,0,0,0,0
1,All Other,0.15,51.78,10.13,25000.00,3.84,632,1530.00,1238,61.90,1,1,0,0
1,Educational,0.09,572.48,10.62,41000.00,15.37,747,7500.00,4746,18.50,2,0,0,0
1,All Other,0.08,149.87,9.95,21000.00,6.34,752,3029.00,3470,25.50,0,0,0,0
1,All Other,0.10,96.75,11.03,62000.00,11.98,682,1799.00,12640,83.20,0,0,0,0
1,Home Improvement,0.07,92.80,11.44,93000.00,0.00,812,8250.00,368,1.20,0,0,0,0
1,Credit Card,0.11,192.09,11.10,66000.00,19.82,677,4290.00,30597,89.50,1,1,0,0
1,All Other,0.12,593.92,10.20,27000.00,10.80,682,5050.00,8537,75.50,0,0,0,0
1,Debt Consolidation,0.11,392.36,10.46,35000.00,15.74,692,1500.04,15649,54.50,2,0,0,0
1,Educational,0.08,156.11,10.86,52000.00,9.55,767,12960.04,4067,7.30,0,0,0,0
1,Debt Consolidation,0.10,155.52,10.46,35000.00,7.51,687,2795.00,5836,68.70,0,0,1,0
1,Credit Card,0.10,485.99,11.39,88000.00,11.95,702,5070.00,24615,94.70,0,0,0,0
1,All Other,0.10,116.64,10.31,30000.00,7.88,687,5130.04,7600,71.70,0,0,1,0
1,Debt Consolidation,0.11,223.34,10.84,51000.00,18.68,682,1889.04,9495,87.90,2,0,0,1
1,Credit Card,0.08,149.87,9.90,20000.00,10.26,757,6330.04,4921,30.40,0,0,0,0
1,Educational,0.12,211.17,11.46,95000.00,1.83,667,3421.04,11200,23.20,1,0,0,0
1,Debt Consolidation,0.07,186.45,11.14,68686.00,6.11,777,7440.04,2444,5.60,3,0,0,0
1,Debt Consolidation,0.09,790.86,11.00,60000.00,0.82,767,2100.00,916,6.80,0,0,0,0
1,Small Business,0.09,795.11,13.33,616000.00,3.83,782,3660.00,148829,6.60,5,0,0,1
1,Credit Card,0.09,126.65,10.69,44000.00,18.71,747,3630.00,3209,12.60,0,0,0,0
1,Credit Card,0.11,294.27,11.29,80000.00,17.17,677,3840.04,7570,82.30,0,0,0,0
1,Debt Consolidation,0.11,404.62,11.29,80000.00,9.23,687,2519.00,13126,96.50,0,0,1,0
1,Debt Consolidation,0.12,397.77,11.92,150000.00,20.48,687,4452.04,66654,51.60,1,0,0,0
1,Debt Consolidation,0.07,178.68,11.46,95000.00,1.20,812,16259.04,50,0.30,0,0,0,0
1,Educational,0.10,29.16,9.39,12000.00,16.70,687,2069.00,3084,65.60,3,0,0,1
1,Small Business,0.10,417.62,11.43,92000.00,6.48,712,5610.04,2598,23.80,1,0,0,0
1,Credit Card,0.11,130.18,11.03,62000.00,17.81,682,6330.04,18168,68.50,2,0,0,0
1,All Other,0.11,98.53,10.40,32904.00,22.79,682,9389.00,24218,85.30,2,0,0,0
1,All Other,0.08,15.69,9.80,18000.00,4.27,722,1470.00,0,0.00,0,0,0,0
1,Credit Card,0.11,523.14,12.21,200000.00,10.70,697,7320.00,72303,73.70,1,0,0,0
1,All Other,0.09,557.23,11.94,153000.00,0.12,757,1128.04,1032,5.00,0,0,0,0
1,All Other,0.11,315.30,10.66,42500.00,14.60,677,3630.00,133,4.20,1,0,0,0
1,Debt Consolidation,0.12,527.93,10.70,44400.00,12.16,682,2130.00,34023,57.70,1,2,0,1
1,Major Purchase,0.07,93.23,11.18,72000.00,11.18,757,4500.04,12430,29.60,5,0,0,0
1,Debt Consolidation,0.08,202.94,10.78,48000.00,13.53,787,10260.04,10742,8.90,3,0,0,0
1,Debt Consolidation,0.12,165.74,10.60,40000.00,7.02,667,2789.04,2197,75.80,0,2,0,1
1,All Other,0.10,158.76,10.69,44000.00,15.30,692,4410.00,88,23.80,1,3,0,1
1,Debt Consolidation,0.10,485.99,10.82,50000.00,11.88,702,7020.04,13867,33.70,0,0,0,0
1,All Other,0.10,322.49,11.19,72500.00,10.28,702,4920.04,3943,98.60,3,0,0,1
1,Debt Consolidation,0.09,189.97,10.09,24000.00,19.45,757,3870.04,5405,40.00,2,0,0,0
1,Debt Consolidation,0.12,376.24,10.42,33600.00,23.96,712,3030.04,12102,49.00,1,0,0,0
1,Debt Consolidation,0.12,599.33,11.61,110244.00,18.30,682,4379.00,18076,81.40,1,0,0,0
1,Debt Consolidation,0.12,132.35,10.20,27000.00,23.20,702,5279.04,4504,39.20,1,0,0,1
1,Small Business,0.12,828.69,10.86,52000.00,9.74,712,4859.04,25852,60.50,0,0,0,0
1,Credit Card,0.11,604.88,10.86,52000.00,17.56,707,8061.00,32438,43.00,0,1,0,0
1,Debt Consolidation,0.09,538.23,10.93,55900.00,11.51,747,6240.04,20380,48.10,2,0,0,0
1,Credit Card,0.09,172.55,10.65,42000.00,16.09,707,2220.00,38054,61.20,0,0,0,0
1,Small Business,0.11,604.88,10.49,36000.00,4.67,697,1410.00,25,0.20,2,0,0,0
1,All Other,0.10,290.24,10.55,38000.00,3.38,697,1782.00,3305,55.10,2,0,0,0
1,Major Purchase,0.12,530.36,11.37,86400.00,15.10,682,3900.00,348,4.80,0,0,0,1
1,All Other,0.09,158.31,10.09,24000.00,6.15,722,1350.00,3015,25.30,0,0,0,0
1,Debt Consolidation,0.11,390.54,10.31,30000.00,19.84,702,2042.04,7336,71.90,1,0,0,0
1,Credit Card,0.12,301.04,10.86,52000.00,4.98,662,6630.04,8644,72.60,1,0,0,0
1,Small Business,0.12,659.91,11.47,96000.00,17.81,707,3629.00,93,0.00,2,0,0,1
1,Small Business,0.07,217.52,10.67,43000.00,1.65,777,2879.00,2698,9.50,0,0,0,0
1,Home Improvement,0.10,388.79,11.48,97000.00,5.58,697,4800.04,19009,30.00,0,0,0,0
1,Major Purchase,0.09,158.31,10.78,48000.00,0.38,717,12930.04,498,7.30,2,1,0,0
1,Debt Consolidation,0.12,319.64,11.00,60000.00,19.28,672,4740.00,10358,91.70,2,0,1,1
1,Credit Card,0.10,103.68,11.23,75000.00,9.70,682,12780.00,2105,45.30,0,3,0,0
1,Home Improvement,0.10,154.08,11.00,60000.00,12.94,697,2969.04,2822,9.90,3,0,0,0
1,Debt Consolidation,0.11,650.90,11.59,108000.00,11.96,707,5070.00,21004,97.70,0,0,0,0
1,All Other,0.14,81.74,10.76,47000.00,24.08,667,2820.00,11675,75.80,1,0,0,0
1,All Other,0.09,238.54,9.88,19440.00,10.37,712,1230.04,3933,43.70,0,0,0,0
1,Debt Consolidation,0.13,335.98,10.98,58800.00,7.51,662,4109.04,7251,80.60,3,0,2,0
1,All Other,0.12,93.23,10.71,45000.00,19.19,692,4440.04,88,44.00,1,3,0,1
1,All Other,0.09,95.87,10.51,36600.00,2.69,697,4680.00,1492,33.20,2,0,0,0
1,Debt Consolidation,0.10,95.94,10.13,25000.00,14.16,692,1918.04,7121,33.70,0,0,0,0
1,Debt Consolidation,0.13,554.37,11.03,62000.00,19.22,677,3060.04,17641,69.50,2,0,0,0
1,Small Business,0.14,859.07,11.29,80000.00,20.79,682,3059.04,30946,61.50,3,0,0,1
1,Major Purchase,0.08,472.68,11.25,77000.00,7.96,772,5909.04,0,0.00,0,0,0,0
1,Credit Card,0.11,586.90,11.23,75000.00,10.34,697,2669.04,23391,90.70,1,0,0,0
1,Major Purchase,0.10,224.69,9.88,19500.00,21.23,772,5881.00,16324,48.00,0,0,0,0
1,Debt Consolidation,0.13,483.81,10.49,36120.00,8.47,662,2670.04,7104,93.50,2,0,0,1
1,Debt Consolidation,0.12,399.55,10.09,24000.00,14.50,672,1950.04,9273,43.90,0,0,0,0
1,Debt Consolidation,0.12,232.04,10.83,50400.00,17.02,672,4380.00,6718,94.60,3,0,0,0
1,Small Business,0.10,802.47,11.23,75000.00,17.06,767,5691.04,12017,12.10,4,0,0,1
1,Debt Consolidation,0.11,304.90,11.16,70522.26,18.96,692,5430.00,5749,43.20,1,1,0,0
1,Small Business,0.12,836.23,11.28,78862.00,7.99,692,4739.00,6530,21.80,0,1,0,0
1,All Other,0.08,124.89,10.09,24000.00,6.00,752,2729.04,2666,12.10,0,0,0,0
1,All Other,0.10,113.40,10.78,48000.00,17.65,687,2070.00,3761,55.40,2,0,0,0
1,Credit Card,0.14,842.47,11.70,120000.00,12.81,677,5340.04,33698,91.30,0,0,0,0
1,Debt Consolidation,0.11,817.41,11.20,73000.00,22.13,737,9900.00,3472,4.50,1,0,0,1
1,Debt Consolidation,0.16,421.65,10.46,34992.00,20.82,667,6750.04,14534,48.90,3,1,0,0
1,Educational,0.09,575.17,11.00,60000.00,9.96,732,2732.04,6703,47.50,1,0,0,0
1,All Other,0.13,405.03,11.56,105000.00,18.25,667,4358.00,5861,53.80,2,0,0,0
1,Debt Consolidation,0.13,167.99,10.15,25480.00,18.65,662,1380.00,5061,72.30,0,1,0,0
1,Debt Consolidation,0.10,677.22,10.90,54099.00,3.77,722,6149.00,16888,39.50,0,0,0,0
1,All Other,0.12,131.99,10.84,50952.00,9.14,667,3990.00,463,92.60,0,0,0,0
1,Debt Consolidation,0.09,281.20,10.13,25000.00,0.00,712,3360.04,0,0.00,0,1,0,0
1,Debt Consolidation,0.10,802.47,10.78,48000.00,9.78,742,2550.00,8283,12.70,4,0,0,0
1,Credit Card,0.11,505.16,11.62,111000.00,10.86,687,3420.04,46525,93.60,0,0,0,0
1,Home Improvement,0.07,180.23,10.63,41300.00,2.32,772,2610.04,2650,6.60,0,0,0,0
1,Small Business,0.09,798.84,11.51,100000.00,1.57,762,6359.04,17,0.10,5,0,0,1
1,All Other,0.09,319.54,10.51,36500.00,19.46,727,4470.04,827,6.60,2,0,0,1
1,Debt Consolidation,0.10,32.10,8.52,5000.00,18.00,702,1200.04,961,26.00,2,0,0,0
1,Debt Consolidation,0.10,192.60,9.80,18000.00,2.87,697,1199.04,1554,29.30,1,0,0,0
1,Home Improvement,0.14,764.64,11.81,135000.00,3.66,672,5790.00,10753,52.30,2,3,0,1
1,All Other,0.07,30.94,11.70,120000.00,0.65,792,3810.04,2227,3.80,1,0,0,0
1,Credit Card,0.09,381.66,11.52,100671.39,6.64,722,10290.04,7606,18.60,0,0,1,0
1,Debt Consolidation,0.12,301.04,11.00,60000.00,4.64,662,2222.00,8355,34.40,0,2,0,1
